Request Path,Date Time,Sum of Traffic
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:21:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:37:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:38:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:39:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:40:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:48:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:52:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:53:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:57:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:58:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 04:59:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:00:00+0000,2
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:01:00+0000,1
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:02:00+0000,3
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:04:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:05:00+0000,1
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:06:00+0000,0
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:08:00+0000,1
/HW5/movies/559687cc-2261-11e7-a2c2-122e0737977d,2017-04-16 05:09:00+0000,2
/HW5/movies,2017-04-16 04:21:00+0000,0
/HW5/movies,2017-04-16 04:37:00+0000,2
/HW5/movies,2017-04-16 04:38:00+0000,0
/HW5/movies,2017-04-16 04:39:00+0000,0
/HW5/movies,2017-04-16 04:40:00+0000,0
